Date,Location,Max_Temp (C),Min_Temp (C),Avg_Temp (C),Max_Wind (kph),Total_Precip (mm),Total_Snow (cm),Avg_Visibility (km),Avg_Humidity,Will_it_Rain,Chance_of_Rain,Will_it_Snow,Chance_of_Snow,Condition,UV_Index
2023-01-31,Goa,32.7,22.2,26.6,21.7,0.0,0.0,10.0,61,0,0,0,0,Partly cloudy,8.0
2023-02-01,Goa,34.3,23.9,28.5,15.8,0.0,0.0,10.0,52,0,0,0,0,Sunny,8.0
2023-02-02,Goa,35.1,23.4,28.3,16.2,0.0,0.0,10.0,50,0,0,0,0,Sunny,9.0
2023-02-03,Goa,34.8,22.6,27.7,18.0,0.0,0.0,10.0,48,0,0,0,0,Sunny,8.0
2023-02-04,Goa,35.1,23.6,27.8,21.7,0.0,0.0,10.0,52,0,0,0,0,Sunny,9.0
2023-02-05,Goa,33.4,22.2,27.0,18.7,0.0,0.0,10.0,54,0,0,0,0,Sunny,8.0
2023-02-06,Goa,33.4,22.1,26.6,19.8,0.0,0.0,10.0,59,0,0,0,0,Sunny,8.0
2023-02-07,Goa,32.3,21.1,26.2,18.0,0.0,0.0,10.0,60,0,0,0,0,Sunny,8.0
2023-02-08,Goa,32.6,20.7,25.9,22.7,0.0,0.0,10.0,63,0,0,0,0,Sunny,8.0
2023-02-09,Goa,34.2,21.8,26.8,20.5,0.0,0.0,10.0,59,0,0,0,0,Sunny,8.0
2023-02-10,Goa,33.1,21.4,26.9,21.2,0.0,0.0,10.0,66,0,0,0,0,Sunny,8.0
2023-02-11,Goa,34.0,21.5,26.7,22.7,0.0,0.0,10.0,59,0,0,0,0,Sunny,8.0
2023-02-12,Goa,34.3,21.1,26.5,20.2,0.0,0.0,10.0,53,0,0,0,0,Sunny,8.0
2023-02-13,Goa,35.3,21.3,27.5,16.6,0.0,0.0,10.0,56,0,0,0,0,Sunny,9.0
2023-02-14,Goa,35.4,21.9,27.1,18.7,0.0,0.0,10.0,47,0,0,0,0,Sunny,9.0
2023-02-15,Goa,34.8,20.1,26.5,17.6,0.0,0.0,10.0,51,0,0,0,0,Sunny,8.0
2023-02-16,Goa,35.6,21.4,27.7,16.0,0.0,0.0,10.0,45,0,0,0,0,Sunny,9.0
2023-02-17,Goa,35.2,22.1,27.5,17.0,0.0,0.0,10.0,51,0,0,0,0,Sunny,9.0
2023-02-18,Goa,34.2,21.6,27.0,20.5,0.0,0.0,10.0,62,0,0,0,0,Sunny,8.0
2023-02-19,Goa,32.8,21.4,26.4,23.8,0.0,0.0,10.0,72,0,0,0,0,Sunny,8.0
2023-02-20,Goa,33.6,21.6,27.0,25.9,0.0,0.0,10.0,69,0,0,0,0,Sunny,8.0
2023-02-21,Goa,33.2,21.9,27.0,21.2,0.0,0.0,10.0,64,0,0,0,0,Sunny,8.0
2023-02-22,Goa,33.1,21.6,26.9,20.5,0.0,0.0,10.0,63,0,0,0,0,Sunny,8.0
2023-02-23,Goa,34.0,21.5,26.9,20.9,0.0,0.0,10.0,66,0,0,0,0,Sunny,8.0
2023-02-24,Goa,33.6,21.9,27.0,22.7,0.0,0.0,10.0,71,0,0,0,0,Sunny,8.0
